FLARE_IDX,CME_IDX,SEP_IDX,Observer,Start Time at Observer (GOES),Start Time at Observer (STIX),Peak Time at Observer (GOES),Peak Time at Observer (STIX),End Time at Observer (GOES),End Time at Observer (STIX),Start Time at 1 AU (GOES),Start Time at 1 AU (STIX),Peak Time at 1 AU (GOES),Peak Time at 1 AU (STIX),End Time at 1 AU (GOES),End Time at 1 AU (STIX),Start Time at the Sun (GOES),Start Time at the Sun (STIX),Peak Time at the Sun (GOES),Peak Time at the Sun (STIX),End Time at the Sun (GOES),End Time at the Sun (STIX),GOES Flare Class,Estimated GOES Flare Class for STIX,GOES HGS LON,GOES HGS LAT,STIX HGS LON,STIX HGS LAT,GOES Distance (AU),STIX Distance (AU),Active Region,IP Radio Bursts
FLARE0175,,,GOES/STIX,2023-12-14 07:11:00,2023-12-14 07:16:18,2023-12-14 07:44:00,2023-12-14 07:41:50,2023-12-14 08:00:00,2023-12-14 08:36:18,2023-12-14 07:11:00,2023-12-14 07:17:02,2023-12-14 07:44:00,2023-12-14 07:42:34,2023-12-14 08:00:00,2023-12-14 08:37:02,2023-12-14 07:02:40,2023-12-14 07:08:42,2023-12-14 07:35:40,2023-12-14 07:34:14,2023-12-14 07:51:40,2023-12-14 08:28:42,M5.8,M6,41.0,4.0,51.0,2.0,1.0,0.913,13514.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20231214.png
FLARE0176,,SEP0095,GOES/STIX,2023-12-14 16:47:00,2023-12-14 16:52:34,2023-12-14 17:02:00,2023-12-14 17:01:26,2023-12-14 17:12:00,2023-12-14 18:23:06,2023-12-14 16:47:00,2023-12-14 16:53:17,2023-12-14 17:02:00,2023-12-14 17:02:09,2023-12-14 17:12:00,2023-12-14 18:23:49,2023-12-14 16:38:40,2023-12-14 16:44:57,2023-12-14 16:53:40,2023-12-14 16:53:49,2023-12-14 17:03:40,2023-12-14 18:15:29,X2.8,X2,53.0,4.0,56.0,2.0,1.0,0.914,13514.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20231214.png
FLARE0177,CME0147,,GOES/STIX,2023-12-15 07:03:00,2023-12-15 07:06:14,2023-12-15 07:15:00,2023-12-15 07:12:42,2023-12-15 07:23:00,2023-12-15 08:28:34,2023-12-15 07:03:00,2023-12-15 07:06:56,2023-12-15 07:15:00,2023-12-15 07:13:24,2023-12-15 07:23:00,2023-12-15 08:29:16,2023-12-15 06:54:40,2023-12-15 06:58:36,2023-12-15 07:06:40,2023-12-15 07:05:04,2023-12-15 07:14:40,2023-12-15 08:20:56,M6.3,M7,61.0,3.0,66.0,2.0,1.0,0.916,13514.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20231215.png
FLARE0178,CME0147,,GOES,2023-12-15 07:23:00,,2023-12-15 07:34:00,,2023-12-15 07:43:00,,2023-12-15 07:23:00,,2023-12-15 07:34:00,,2023-12-15 07:43:00,,2023-12-15 07:14:40,,2023-12-15 07:25:40,,2023-12-15 07:34:40,,M6.9,,63.0,3.0,,,1.0,,13514.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20231215.png
FLARE0179,,,STIX,,2023-12-21 05:18:58,,2023-12-21 05:32:14,,2023-12-21 06:38:22,,2023-12-21 05:19:31,,2023-12-21 05:32:47,,2023-12-21 06:38:55,,2023-12-21 05:11:11,,2023-12-21 05:24:27,,2023-12-21 06:30:35,,M5,,,75.0,-13.0,,0.935,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20231221.png
FLARE0180,CME0148,,STIX,,2023-12-31 21:37:55,,2023-12-31 21:52:35,,2023-12-31 23:04:47,,2023-12-31 21:38:19,,2023-12-31 21:52:59,,2023-12-31 23:05:11,,2023-12-31 21:29:59,,2023-12-31 21:44:39,,2023-12-31 22:56:51,,X6,,,-77.0,3.0,,0.953,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20231231.png
FLARE0181,,,STIX,,2024-01-01 12:15:19,,2024-01-01 12:21:31,,2024-01-01 12:32:07,,2024-01-01 12:15:42,,2024-01-01 12:21:54,,2024-01-01 12:32:30,,2024-01-01 12:07:22,,2024-01-01 12:13:34,,2024-01-01 12:24:10,,M6,,,-67.0,3.0,,0.953,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240101.png
FLARE0182,,,STIX,,2024-01-10 03:06:59,,2024-01-10 03:11:47,,2024-01-10 03:46:55,,2024-01-10 03:07:23,,2024-01-10 03:12:11,,2024-01-10 03:47:19,,2024-01-10 02:59:03,,2024-01-10 03:03:51,,2024-01-10 03:38:59,,M8,,,-104.0,-22.0,,0.952,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240110.png
FLARE0183,,,STIX,,2024-01-10 05:18:55,,2024-01-10 05:39:39,,2024-01-10 06:13:27,,2024-01-10 05:19:19,,2024-01-10 05:40:03,,2024-01-10 06:13:51,,2024-01-10 05:10:59,,2024-01-10 05:31:43,,2024-01-10 06:05:31,,M6,,,-101.0,-22.0,,0.952,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240110.png
FLARE0184,,,GOES/STIX,2024-01-22 21:14:00,2024-01-22 21:16:52,2024-01-22 21:21:00,2024-01-22 21:20:28,2024-01-22 21:32:00,2024-01-22 22:42:48,2024-01-22 21:14:00,2024-01-22 21:17:29,2024-01-22 21:21:00,2024-01-22 21:21:05,2024-01-22 21:32:00,2024-01-22 22:43:25,2024-01-22 21:05:40,2024-01-22 21:09:09,2024-01-22 21:12:40,2024-01-22 21:12:45,2024-01-22 21:23:40,2024-01-22 22:35:05,M3.4,M5,28.0,-16.0,32.0,-19.0,1.0,0.927,13561.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240122.png
FLARE0185,,,GOES,2024-01-23 03:09:00,,2024-01-23 03:31:00,,2024-01-23 03:38:00,,2024-01-23 03:09:00,,2024-01-23 03:31:00,,2024-01-23 03:38:00,,2024-01-23 03:00:40,,2024-01-23 03:22:40,,2024-01-23 03:29:40,,M5.1,,1.0,27.0,,,1.0,,13559.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240123.png
FLARE0186,CME0150,,GOES/STIX,2024-01-29 03:54:00,2024-01-29 03:44:36,2024-01-29 04:38:00,2024-01-29 03:46:32,2024-01-29 05:15:00,2024-01-29 03:50:48,2024-01-29 03:54:00,2024-01-29 03:45:24,2024-01-29 04:38:00,2024-01-29 03:47:20,2024-01-29 05:15:00,2024-01-29 03:51:36,2024-01-29 03:45:40,2024-01-29 03:37:04,2024-01-29 04:29:40,2024-01-29 03:39:00,2024-01-29 05:06:40,2024-01-29 03:43:16,M6.8,C1,70.0,25.0,65.0,21.0,1.0,0.904,13559.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240129.png
FLARE0187,CME0150,,STIX,,2024-01-29 04:06:52,,2024-01-29 04:26:40,,2024-01-29 05:43:00,,2024-01-29 04:07:40,,2024-01-29 04:27:28,,2024-01-29 05:43:48,,2024-01-29 03:59:20,,2024-01-29 04:19:08,,2024-01-29 05:35:28,,M5,,,65.0,25.0,,0.904,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240129.png
FLARE0188,CME0151,,STIX,,2024-02-02 12:57:47,,2024-02-02 13:26:11,,2024-02-02 13:58:08,,2024-02-02 12:58:46,,2024-02-02 13:27:10,,2024-02-02 13:59:06,,2024-02-02 12:50:26,,2024-02-02 13:18:50,,2024-02-02 13:50:46,,X2,,,-111.0,-21.0,,0.884,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240202.png
FLARE0189,CME0152,,GOES,2024-02-07 03:04:00,,2024-02-07 03:31:00,,2024-02-07 04:11:00,,2024-02-07 03:04:00,,2024-02-07 03:31:00,,2024-02-07 04:11:00,,2024-02-07 02:55:40,,2024-02-07 03:22:40,,2024-02-07 04:02:40,,M5.1,,78.0,-40.0,,,1.0,,13575.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240207.png
FLARE0190,CME0153,,GOES,2024-02-09 12:53:00,,2024-02-09 13:14:00,,2024-02-09 13:32:00,,2024-02-09 12:53:00,,2024-02-09 13:14:00,,2024-02-09 13:32:00,,2024-02-09 12:44:40,,2024-02-09 13:05:40,,2024-02-09 13:23:40,,X3.3,,85.0,-37.0,,,1.0,,13575.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240209.png
FLARE0191,,,GOES/STIX,2024-02-10 22:56:00,2024-02-10 22:55:32,2024-02-10 23:07:00,2024-02-10 23:04:40,2024-02-10 23:14:00,2024-02-10 23:37:32,2024-02-10 22:56:00,2024-02-10 22:56:54,2024-02-10 23:07:00,2024-02-10 23:06:02,2024-02-10 23:14:00,2024-02-10 23:38:54,2024-02-10 22:47:40,2024-02-10 22:48:34,2024-02-10 22:58:40,2024-02-10 22:57:42,2024-02-10 23:05:40,2024-02-10 23:30:34,M9.0,M8,12.0,-10.0,14.0,-13.0,1.0,0.835,13576.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240210.png
FLARE0192,,,GOES/STIX,2024-02-12 03:23:00,2024-02-12 03:22:44,2024-02-12 03:48:00,2024-02-12 03:45:44,2024-02-12 03:53:00,2024-02-12 04:35:52,2024-02-12 03:23:00,2024-02-12 03:24:11,2024-02-12 03:48:00,2024-02-12 03:47:11,2024-02-12 03:53:00,2024-02-12 04:37:19,2024-02-12 03:14:40,2024-02-12 03:15:51,2024-02-12 03:39:40,2024-02-12 03:38:51,2024-02-12 03:44:40,2024-02-12 04:28:59,M6.5,M6,26.0,-17.0,29.0,-15.0,1.0,0.827,13576.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240212.png
FLARE0193,,,GOES,2024-02-16 06:42:00,,2024-02-16 06:53:00,,2024-02-16 06:58:00,,2024-02-16 06:42:00,,2024-02-16 06:53:00,,2024-02-16 06:58:00,,2024-02-16 06:33:40,,2024-02-16 06:44:40,,2024-02-16 06:49:40,,X2.5,,80.0,-16.0,,,1.0,,13576.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240216.png
FLARE0194,,,GOES/STIX,2024-02-21 22:52:00,2024-02-21 22:52:32,2024-02-21 23:07:00,2024-02-21 23:03:44,2024-02-21 23:14:00,2024-02-21 23:53:20,2024-02-21 22:52:00,2024-02-21 22:54:37,2024-02-21 23:07:00,2024-02-21 23:05:49,2024-02-21 23:14:00,2024-02-21 23:55:25,2024-02-21 22:43:40,2024-02-21 22:46:17,2024-02-21 22:58:40,2024-02-21 22:57:29,2024-02-21 23:05:40,2024-02-21 23:47:05,X1.8,X2,-39.0,17.0,-39.0,17.0,1.0,0.75,13590.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240221.png
FLARE0195,,,GOES/STIX,2024-02-22 06:17:00,2024-02-22 06:20:28,2024-02-22 06:32:00,2024-02-22 06:30:00,2024-02-22 06:40:00,2024-02-22 07:51:52,2024-02-22 06:17:00,2024-02-22 06:22:34,2024-02-22 06:32:00,2024-02-22 06:32:06,2024-02-22 06:40:00,2024-02-22 07:53:58,2024-02-22 06:08:40,2024-02-22 06:14:14,2024-02-22 06:23:40,2024-02-22 06:23:46,2024-02-22 06:31:40,2024-02-22 07:45:38,X1.7,X2,-35.0,16.0,-35.0,17.0,1.0,0.747,13590.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240222.png
FLARE0196,,,STIX,,2024-02-22 06:25:12,,2024-02-22 06:27:20,,2024-02-22 06:28:20,,2024-02-22 06:27:18,,2024-02-22 06:29:26,,2024-02-22 06:30:26,,2024-02-22 06:18:58,,2024-02-22 06:21:06,,2024-02-22 06:22:06,,M10,,,-36.0,17.0,,0.747,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240222.png
FLARE0197,,,STIX,,2024-02-22 06:32:28,,2024-02-22 06:33:24,,2024-02-22 06:41:00,,2024-02-22 06:34:34,,2024-02-22 06:35:30,,2024-02-22 06:43:06,,2024-02-22 06:26:14,,2024-02-22 06:27:10,,2024-02-22 06:34:46,,X1,,,-35.0,17.0,,0.747,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240222.png
FLARE0198,,,GOES/STIX,2024-02-22 20:29:00,2024-02-22 20:27:16,2024-02-22 20:46:00,2024-02-22 20:42:12,2024-02-22 21:03:00,2024-02-22 21:20:48,2024-02-22 20:29:00,2024-02-22 20:29:25,2024-02-22 20:46:00,2024-02-22 20:44:21,2024-02-22 21:03:00,2024-02-22 21:22:57,2024-02-22 20:20:40,2024-02-22 20:21:05,2024-02-22 20:37:40,2024-02-22 20:36:01,2024-02-22 20:54:40,2024-02-22 21:14:37,M4.8,M6,-29.0,18.0,-29.0,17.0,1.0,0.742,13590.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240222.png
FLARE0199,,,GOES/STIX,2024-02-22 22:08:00,2024-02-22 22:09:36,2024-02-22 22:34:00,2024-02-22 22:30:28,2024-02-22 22:43:00,2024-02-22 23:31:40,2024-02-22 22:08:00,2024-02-22 22:11:45,2024-02-22 22:34:00,2024-02-22 22:32:37,2024-02-22 22:43:00,2024-02-22 23:33:49,2024-02-22 21:59:40,2024-02-22 22:03:25,2024-02-22 22:25:40,2024-02-22 22:24:17,2024-02-22 22:34:40,2024-02-22 23:25:29,X6.3,X10,-27.0,17.0,-26.0,17.0,1.0,0.741,13590.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240222.png
FLARE0200,,,STIX,,2024-02-24 06:03:08,,2024-02-24 06:30:12,,2024-02-24 07:04:20,,2024-02-24 06:05:24,,2024-02-24 06:32:28,,2024-02-24 07:06:36,,2024-02-24 05:57:04,,2024-02-24 06:24:08,,2024-02-24 06:58:16,,M7,,,-9.0,18.0,,0.729,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240224.png
FLARE0201,,,GOES/STIX,2024-03-10 12:00:00,2024-03-10 11:59:46,2024-03-10 12:13:00,2024-03-10 12:08:54,2024-03-10 12:20:00,2024-03-10 13:04:14,2024-03-10 12:00:00,2024-03-10 12:03:26,2024-03-10 12:13:00,2024-03-10 12:12:34,2024-03-10 12:20:00,2024-03-10 13:07:54,2024-03-10 11:51:40,2024-03-10 11:55:06,2024-03-10 12:04:40,2024-03-10 12:04:14,2024-03-10 12:11:40,2024-03-10 12:59:34,M7.4,M8,38.0,-13.0,39.0,-14.0,1.0,0.561,13599.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240310.png
FLARE0202,,,GOES/STIX,2024-03-18 19:02:00,2024-03-18 18:47:44,2024-03-18 19:19:00,2024-03-18 19:12:44,2024-03-18 19:28:00,2024-03-18 20:19:28,2024-03-18 19:02:00,2024-03-18 18:52:19,2024-03-18 19:19:00,2024-03-18 19:17:19,2024-03-18 19:28:00,2024-03-18 20:24:03,2024-03-18 18:53:40,2024-03-18 18:43:59,2024-03-18 19:10:40,2024-03-18 19:08:59,2024-03-18 19:19:40,2024-03-18 20:15:43,M6.7,M5,-70.0,-11.0,-72.0,-11.0,1.0,0.451,13615.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240318.png
FLARE0203,,,STIX,,2024-03-20 06:56:28,,2024-03-20 07:29:48,,2024-03-20 08:28:08,,2024-03-20 07:01:13,,2024-03-20 07:34:33,,2024-03-20 08:32:53,,2024-03-20 06:52:53,,2024-03-20 07:26:13,,2024-03-20 08:24:33,,M6,,,-49.0,-11.0,,0.43,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240320.png
FLARE0204,,,GOES,2024-03-20 07:23:00,,2024-03-20 07:36:00,,2024-03-20 07:47:00,,2024-03-20 07:23:00,,2024-03-20 07:36:00,,2024-03-20 07:47:00,,2024-03-20 07:14:40,,2024-03-20 07:27:40,,2024-03-20 07:38:40,,M7.4,,-51.0,-10.0,,,1.0,,13615.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240320.png
FLARE0205,CME0166,,GOES,2024-03-23 00:58:00,,2024-03-23 01:33:00,,2024-03-23 02:21:00,,2024-03-23 00:58:00,,2024-03-23 01:33:00,,2024-03-23 02:21:00,,2024-03-23 00:49:40,,2024-03-23 01:24:40,,2024-03-23 02:12:40,,X1.1,,-8.0,27.0,,,1.0,,13614.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240323.png
FLARE0206,,,GOES/STIX,2024-03-23 13:51:00,2024-03-23 13:55:53,2024-03-23 14:02:00,2024-03-23 13:57:05,2024-03-23 14:15:00,2024-03-23 13:58:17,2024-03-23 13:51:00,2024-03-23 14:00:59,2024-03-23 14:02:00,2024-03-23 14:02:11,2024-03-23 14:15:00,2024-03-23 14:03:23,2024-03-23 13:42:40,2024-03-23 13:52:39,2024-03-23 13:53:40,2024-03-23 13:53:51,2024-03-23 14:06:40,2024-03-23 13:55:03,M5.3,B5,-6.0,-14.0,-6.0,-15.0,1.0,0.386,13615.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240323.png
FLARE0207,,,GOES/STIX,2024-03-28 06:16:00,2024-03-28 06:12:37,2024-03-28 06:29:00,2024-03-28 06:23:13,2024-03-28 06:36:00,2024-03-28 07:14:37,2024-03-28 06:16:00,2024-03-28 06:18:12,2024-03-28 06:29:00,2024-03-28 06:28:48,2024-03-28 06:36:00,2024-03-28 07:20:12,2024-03-28 06:07:40,2024-03-28 06:09:52,2024-03-28 06:20:40,2024-03-28 06:20:28,2024-03-28 06:27:40,2024-03-28 07:11:52,M7.1,M5,55.0,-16.0,52.0,-15.0,1.0,0.331,13615.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240328.png
FLARE0208,,,GOES/STIX,2024-03-28 15:40:00,2024-03-28 15:40:01,2024-03-28 15:56:00,2024-03-28 15:41:37,2024-03-28 16:03:00,2024-03-28 15:43:01,2024-03-28 15:40:00,2024-03-28 15:45:37,2024-03-28 15:56:00,2024-03-28 15:47:13,2024-03-28 16:03:00,2024-03-28 15:48:37,2024-03-28 15:31:40,2024-03-28 15:37:17,2024-03-28 15:47:40,2024-03-28 15:38:53,2024-03-28 15:54:40,2024-03-28 15:40:17,M6.1,C6,58.0,-13.0,56.0,-15.0,1.0,0.327,13615.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240328.png
FLARE0209,,,STIX,,2024-03-28 15:48:57,,2024-03-28 15:50:49,,2024-03-28 15:53:33,,2024-03-28 15:54:34,,2024-03-28 15:56:26,,2024-03-28 15:59:10,,2024-03-28 15:46:14,,2024-03-28 15:48:06,,2024-03-28 15:50:50,,M5,,,56.0,-15.0,,0.327,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240328.png
FLARE0210,,,GOES/STIX,2024-03-28 20:29:00,2024-03-28 20:28:33,2024-03-28 20:56:00,2024-03-28 20:38:01,2024-03-28 21:01:00,2024-03-28 21:56:33,2024-03-28 20:29:00,2024-03-28 20:34:10,2024-03-28 20:56:00,2024-03-28 20:43:38,2024-03-28 21:01:00,2024-03-28 22:02:10,2024-03-28 20:20:40,2024-03-28 20:25:50,2024-03-28 20:47:40,2024-03-28 20:35:18,2024-03-28 20:52:40,2024-03-28 21:53:50,X1.1,M9,61.0,-14.0,59.0,-16.0,1.0,0.325,13615.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240328.png
FLARE0211,,,GOES/STIX,2024-03-30 21:01:00,2024-03-30 21:02:09,2024-03-30 21:16:00,2024-03-30 21:09:41,2024-03-30 22:15:00,2024-03-30 22:33:57,2024-03-30 21:01:00,2024-03-30 21:07:55,2024-03-30 21:16:00,2024-03-30 21:15:27,2024-03-30 22:15:00,2024-03-30 22:39:43,2024-03-30 20:52:40,2024-03-30 20:59:35,2024-03-30 21:07:40,2024-03-30 21:07:07,2024-03-30 22:06:40,2024-03-30 22:31:23,M9.4,M8,88.0,-12.0,12.0,-42.0,1.0,0.308,13515.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240330.png
FLARE0212,CME0172,,GOES,2024-04-11 16:52:00,,2024-04-11 17:06:00,,2024-04-11 17:11:00,,2024-04-11 16:52:00,,2024-04-11 17:06:00,,2024-04-11 17:11:00,,2024-04-11 16:43:40,,2024-04-11 16:57:40,,2024-04-11 17:02:40,,M5.4,,-88.0,13.0,,,1.0,,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240411.png
FLARE0213,,,GOES/STIX,2024-04-30 23:23:00,2024-04-30 23:22:21,2024-04-30 23:46:00,2024-04-30 23:43:29,2024-04-30 23:58:00,2024-05-01 00:44:33,2024-04-30 23:23:00,2024-04-30 23:25:46,2024-04-30 23:46:00,2024-04-30 23:46:54,2024-04-30 23:58:00,2024-05-01 00:47:58,2024-04-30 23:14:40,2024-04-30 23:17:26,2024-04-30 23:37:40,2024-04-30 23:38:34,2024-04-30 23:49:40,2024-05-01 00:39:38,M9.5,M3,63.0,-5.0,72.0,-5.0,1.0,0.59,13654.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240430.png
FLARE0214,,,GOES,2024-05-03 02:11:00,,2024-05-03 02:22:00,,2024-05-03 02:27:00,,2024-05-03 02:11:00,,2024-05-03 02:22:00,,2024-05-03 02:27:00,,2024-05-03 02:02:40,,2024-05-03 02:13:40,,2024-05-03 02:18:40,,X1.6,,-7.0,25.0,,,1.0,,13663.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240503.png
FLARE0215,,,GOES,2024-05-04 06:02:00,,2024-05-04 06:19:00,,2024-05-04 06:30:00,,2024-05-04 06:02:00,,2024-05-04 06:19:00,,2024-05-04 06:30:00,,2024-05-04 05:53:40,,2024-05-04 06:10:40,,2024-05-04 06:21:40,,M9.1,,8.0,26.0,,,1.0,,13663.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240504.png
FLARE0216,,,GOES,2024-05-04 23:28:00,,2024-05-04 23:48:00,,2024-05-04 23:55:00,,2024-05-04 23:28:00,,2024-05-04 23:48:00,,2024-05-04 23:55:00,,2024-05-04 23:19:40,,2024-05-04 23:39:40,,2024-05-04 23:46:40,,M9.0,,10.0,26.0,,,1.0,,13663.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240504.png
FLARE0217,,,GOES,2024-05-05 01:15:00,,2024-05-05 01:27:00,,2024-05-05 01:43:00,,2024-05-05 01:15:00,,2024-05-05 01:27:00,,2024-05-05 01:43:00,,2024-05-05 01:06:40,,2024-05-05 01:18:40,,2024-05-05 01:34:40,,M8.4,,10.0,26.0,,,1.0,,13663.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240505.png
FLARE0218,,,GOES,2024-05-05 05:47:00,,2024-05-05 06:01:00,,2024-05-05 06:07:00,,2024-05-05 05:47:00,,2024-05-05 06:01:00,,2024-05-05 06:07:00,,2024-05-05 05:38:40,,2024-05-05 05:52:40,,2024-05-05 05:58:40,,X1.3,,10.0,26.0,,,1.0,,13663.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240505.png
FLARE0219,,,GOES,2024-05-05 09:53:00,,2024-05-05 10:00:00,,2024-05-05 10:19:00,,2024-05-05 09:53:00,,2024-05-05 10:00:00,,2024-05-05 10:19:00,,2024-05-05 09:44:40,,2024-05-05 09:51:40,,2024-05-05 10:10:40,,M7.4,,21.0,26.0,,,1.0,,13663.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240505.png
FLARE0220,,,GOES,2024-05-05 11:41:00,,2024-05-05 11:54:00,,2024-05-05 12:16:00,,2024-05-05 11:41:00,,2024-05-05 11:54:00,,2024-05-05 12:16:00,,2024-05-05 11:32:40,,2024-05-05 11:45:40,,2024-05-05 12:07:40,,X1.2,,22.0,26.0,,,1.0,,13663.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240505.png
FLARE0221,,,GOES,2024-05-06 05:38:00,,2024-05-06 06:35:00,,2024-05-06 06:47:00,,2024-05-06 05:38:00,,2024-05-06 06:35:00,,2024-05-06 06:47:00,,2024-05-06 05:29:40,,2024-05-06 06:26:40,,2024-05-06 06:38:40,,X4.5,,32.0,24.0,,,1.0,,13663.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240506.png
FLARE0222,,,GOES,2024-05-07 05:58:00,,2024-05-07 06:16:00,,2024-05-07 06:27:00,,2024-05-07 05:58:00,,2024-05-07 06:16:00,,2024-05-07 06:27:00,,2024-05-07 05:49:40,,2024-05-07 06:07:40,,2024-05-07 06:18:40,,M5.1,,45.0,27.0,,,1.0,,13663.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240507.png
FLARE0223,,,GOES,2024-05-07 16:21:00,,2024-05-07 16:30:00,,2024-05-07 16:36:00,,2024-05-07 16:21:00,,2024-05-07 16:30:00,,2024-05-07 16:36:00,,2024-05-07 16:12:40,,2024-05-07 16:21:40,,2024-05-07 16:27:40,,M8.2,,13.0,-19.0,,,1.0,,13663.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240507.png
FLARE0224,,,GOES,2024-05-08 01:33:00,,2024-05-08 01:41:00,,2024-05-08 01:48:00,,2024-05-08 01:33:00,,2024-05-08 01:41:00,,2024-05-08 01:48:00,,2024-05-08 01:24:40,,2024-05-08 01:32:40,,2024-05-08 01:39:40,,X1.0,,58.0,26.0,,,1.0,,13663.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240508.png
FLARE0225,,,GOES,2024-05-08 04:37:00,,2024-05-08 05:09:00,,2024-05-08 05:32:00,,2024-05-08 04:37:00,,2024-05-08 05:09:00,,2024-05-08 05:32:00,,2024-05-08 04:28:40,,2024-05-08 05:00:40,,2024-05-08 05:23:40,,X1.0,,17.0,-18.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240508.png
FLARE0226,,,GOES,2024-05-08 17:32:00,,2024-05-08 17:53:00,,2024-05-08 18:00:00,,2024-05-08 17:32:00,,2024-05-08 17:53:00,,2024-05-08 18:00:00,,2024-05-08 17:23:40,,2024-05-08 17:44:40,,2024-05-08 17:51:40,,M7.9,,18.0,-18.0,,,1.0,,13664.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2024/crocs_flux_20240508.png
